name,Description
Fuchsia Floral Print Lace Up Front Top,"This off-shoulder top from Aeropostale is an effortless choice for weekends. Cut from a soft cotton, it's finished with a lace-up front and floral prints all over. Wear yours with skinny jeans and low-top sneakers."
Blue Floral Design Casual Top,Add a fresh and vibrant touch to your casual wardrobe with this Top from Campus Sutra. Team it with a pair of Jeans or Shorts and flip-flops or shoe for a cool look.
Black Floral My Sweetheart Dress,Black floral printed rayon crepe dress. Fit and flare silhouette. Smocked band at the waist for style and comfort. Ruffles at hem for style. Three fourth sleeves with a v neckline.
Yellow Floral Vibrance Dress,Yellow Floral Rayon Dress with Voile Lining inside. Shoulder Straps with tie up at waist. Fit & Flare with ruffles at hem. Side Zipper for fastening & ease.
Casual Beige Cotton Top,"This beige lace top from ONLY is crafted in cotton and features a round neck with tie-up details on the front,short sleeves and scalloped hemline. Buy this top online and pair it with jeans and nude heels to complete the look."
Black Solid Boat Neck Mini Dress,"GAP's dress is cut from smooth satin in a flattering fit and flare silhouette. Even better, this piece comes with pockets on the sides, while the slight gathers at the waist add fullness. Wear it for an evening out with strappy sandals."
Maxi Navy Blue Polka Dot Dress,Peplum Maxi Navy Blue Polka Dot Dress
Pink Front Tie Shirt,"This pink shirt by Torqadorn is crafted in satin and features a collared neck, button closure on the front, long sleeves, a tie-up detail on the front and a relaxed fit. Buy this shirt online and pair it with flared pants and heels to create a statement look."
Peach Ellery Frill Maxi Dress,"Bring the romance in this dreamy peach floral maxi dress. It’s elevated with soft ruffles and flutter sleeves, so wear yours with subtle accessories and low strappy heels to let the details shine."
SAMSHEK Blue A-Line Ruffle Dress,"A casual wear A-line  blue dress with V neckline and ruffles on the sleeves 
<br>
<br>Color: Light Blue 
<br>Neck: V Neck 
<br>Sleeves: 3/4th Bell Sleeves 
<br>Length: Knee Length 
<br>Fit: Regular Fit
<br>Fabric: Georgette 
<br>Fabric Composition: Viscose
<br>Style: Casual"
Black Bow To Ruffle Short Dress,"Crafted in textured satin with a polyester knit lining, this dress flatters those who are bottom heavy. It features a v-neckline, ruffles from waist to hem, a fabric belt and a concealed zipper with a hook button at the back. Style with: High-shine heels, an envelope clutch and minimal accessories. The model (height 5'6"") is wearing a size XS"
Navy Blue Clapton Collared Dress,"This navy blue pleated dress from Payal Pratap will be a great addition to your western wear collection. Featuring a collar neck and 3/4th sleeves, pair this dress with silver accessories and casual footwear to create that go-to look."
Black Welcome To The Party Jumpsuit,Black polyester knit jumpsuit. Round neckline with deep incuts. Back zipper for closure.
Pink Plush In Pleats Playsuit,Pink pleated velvet playsuit. Overlapping v neckline with fitted full sleeves. Straight legged short bottoms. Concealed centre back zipper for fastening and ease.
Uzbek Velvet Low Crotch Jumpsuit,"Revamp your wardrobe with this jumpsuit by Payal Singhal. Crafted in velvet, it features embroidery and has low crotch. Style it with statement jewellery and embellished footwear to ace the outfit."
Short Black Faux Leather Jacket,"This black short jacket from Vero Moda is crafted from polyester and features a lapel collar neck with zip and button fastening, long sleeves and side pockets. Buy this jacket online and style it with dress or skinny jeans and boots to make a statement."
Yellow Printed Crop T-Shirt,"This yellow t-shirt by Only is crafted in viscose and features a round neck, short sleeves, graphic print details and a regular fit. Style this t-shirt with a pair of denim shorts and casual sneakers to complete the look. Buy this t-shirt online."
Black Count On Me Jumpsuit,Inspire chic finesse in your line-up with this black jumpsuit from Twenty Dresses. Style With: A pair of block mules and a chic handbag will complete this stunning look!
Beige Textured Pullover,"This beige pullover by Only is crafted in polyester and features a round neck, long sleeves and a regular fit. Buy this pullover online and style it with a pair of skinny jeans and casual sneakers to complete the look."
SAMSHEK Sea Green One Shoulder Top,"A casual wear viscose one shoulder top with asymmetric hem 
<br>
<br>Color: Sea Green 
<br>Neck: Asymmetric 
<br>Sleeves: 3/4th One Side Sleeve 
<br>Length: Low Waist 
<br>Fit: Regular Fit 
<br>Fabric: Georgette
<br>Fabric Composition: 100% Viscose
<br>Style: Casual"
White Bodycon Lace Dress,Cotton Lace Dress with a Cut-out Back
Red Check Buttoned Top,"This red crepe check buttoned-down top features a mandarin neck, 3/4th sleeves and asymmetrical sides. This top has a regular fit. Style this top with stud earrings, jeggings and heels. Buy this dress online."
Maroon Edging Towards Style Dress,Maroon polyester knit dress. One shoulder neckline. Fit and flare silhouette.
Maroon Neck Tie Shirt,"This maroon shirt by Torqadorn is crafted in crepe and features a tie-up detail on the neck, button closure on the front, long sleeves and a relaxed fit. Buy this shirt online and pair it with straight pants and heels to create a statement look."
Navy Blue Logo Round Neck T-Shirt,This elegant blue t-shirt by GAP is crafted in cotton and is a must-have in your casual collection. Style this t-shirt with a pair of boyfriend denims and your regular sneakers to complete the look.
Black Willow Printed Midi Dress,"Printed in timeless black and white spots, this midi dress has a square neckline and feminine puff sleeves. Perfect for everyday wear, style this on-trend piece with chunky sneakers or nude sandals."
Light Brown Solid A-Line Viscose Top,Make a stunning style statement with this elegant light brown top from Jaipur Kurti. Team this top with a pair of boyfriend denims and block heels to complete the look.
Black Tassel Dress,This black solid cotton dress is by Ambraee. The colour of the garment may differ from the picture.
Pink Floral Print Flutter Sleeve Top,"Split-V mandarin neck , Flutter sleeves , All over floral print ,,,,,"
Indigo Roza Denim Jumpsuit,Jumpsuit with cross front neck and fringe details in natural indigo dyed handloom khadi denim fastened with natural coconut buttons and knot at the back
Pink Belt It Out Maxi Dress,Pink polyester georgette maxi dress. Polyester knit lining inside for comfort. Adjustable shoulder straps with a square neckline. Cut out at the back with a broad tie up belt for style. Thigh high slit for style. Concealed zipper on the left. Classic and chic this gorgeous gown will make you feel every bit beautiful and be perfect for a cocktail night!. Accessorize with: kitten heels and a cute clutch will be all you need!
Blue Hold It High Denim Jumpsuit,Blue cotton denim jumpsuit. Sleeveless with a v neckline. Straight leg silhouette with side pockets. Center front button placket for fastening and ease.
Yellow Arrow Top,"An all purpose piece. Can be teamed up with any jeans, skirt or pants. Definitely makes you stand apart. Accessories will add to the compliments"
Multi-Color Flourishing In Florals Top,Green floral printed rayon top. Overlapping v neckline with a belt on the waist for style. Three fourth puff sleeves with ruching on the side and tie up on sleeve hem.
Blue Pure Linen Dress With Hand Emroidery,Pure Linen with thread hand embroidery
Bespoke by Narendra kumar Navy Blue High Slit Gown,"A timeless and versatile take on evening dressing, this dark blue gown features a plunging neckline and thigh high-slit skirt which adds a feminine touch to the silhouette. Team this chic style with heels, a clutch and delicate jewellery."
Riyaa Floral Top With Tie-Up Belt (Set of 2),"Present an allure of elegance with this abutilon print kimono top by Payal Singhal. Crafted in georgette and velvet, the pack comes with a belt to complete the ensemble. Style it with statement jewellery and embellished footwear to ace the outfit."
Navy Blue Printed Top,From the premium range of Amaiva presents blue printed flared cotton top that has contrast print piping on neck and bell sleeves that makes it more stylish and it also has buttons and contrast print detailing on tassels.
Burgundy Prints All Over Me Top,Burgundy square polka polyester moss crepe top. High neck band with a belt attached at the side. Long sleeves with broad cuff band and gathers at the shoulder. Two loop buttons at the back for closure.
Blue The Cool Wave Striped Top,A blue striped cotton top with an off-shoulder silhouette and has three-fourth exaggerated layered sleeves.
Yellow Begonia Dress,"This aurora yellow printed mid length alluring dress from baise gaba has all for the perfect day out as it has free string tie up under the bust, deep v neck, modal under slip, butterfly sleeves. This dress can be wear as daywear , casual wear, regular wear ."
Olive Garden Of Eden Dress,Olive floral printed rayon dress. Fit and Flare Silhouette. Overlapping v-neckline with buttons for show. Short puff sleeves and attached frill at hemline for style. Concealed zipper on the left.
Olive The Style Breakout Dress,Olive rayon twill dress. Fit and flare silhouette. Elasticated waist with a belt and loops on the side. Pockets at center front. Centre front button down dress. Three fourth sleeves with a shirt button collar.
Ban Collar Full Sleeves Short Top With Camisole,"This red top by Label Ritu Kumar is crafted in blended fabric and features a mandarin neck, tie strings with tassel embellishments on the neckline, long bell sleeves, embroidery details and a loose fit. Buy this top online and team it with straight pants and heels to create a trendy look."
Green All About Tonight Gown,Green polyester georgette maxi dress. Polyester crepe lining inside for comfort. Fit and flare silhouette. Round neckline with back zipper for fastening and deep incut sleeves.
Wine Maroon Solid A-Line Viscose Top,Make a stunning style statement with this elegant maroon top from Jaipur Kurti. Team this top with a pair of boyfriend denims and block heels to complete the look.
White Logo Printed Short Sleeves Top,This elegant white t-shirt by GAP is crafted in cotton and is a must-have in your casual collection. Style this t-shirt with a pair of boyfriend denims and your regular sneakers to complete the look.
White Elegance In Sheer Lace Co-ordinates (Set of 2),"Crafted in polyester lace with a polyester knit lining, this pristine co-ord set isn't restricted to cocktail hour. It comes with a crop top featuring adjustable shoulder straps, a sweetheart neckline and a zip at the top. It also includes a pencil skirt with a concealed zipper on the left. Style with: Nude court heels and a gold clutch. The model (height 5'6"") is wearing a size XS"
Sage Green Stripes Kai Dress,Shirt dress with panelled leather
Bespoke by Narendra kumar Navy Blue Embroidered Peplum Top,"Featuring a tube silhouette, this Bespoke Peplum Top is crafted from pure silk in blush with delicate hand embroidery. Wear yours with everything from pared-back denim to a party-ready leather skirt."
Premium Rose Gold Solid Shrug,This stylish Shrug from Idalia will take your confident to next level. Pair it up with leggings or pants for a chic yet traditional look.
KAZO Multi-Color Button Detailed Stripe Top,"This multi-colour stripes top from Kazo will be a perfect addition to your western wear collection. Featuring a V-neck and short sleeves, style this top with a pair of jeggings and flats to complete the look. Top only."
Green Elsie Green Top,V-neck front open shirt top in fine Hemp fabric with piping detail
Navy Blue Walter Selvedge Top,"This navy blue solid top from Payal Pratap will be a great addition to your western wear collection. Featuring a boat neck and 3/4th sleeves, pair this top with jeggings, minimal accessories and casual footwear to create that go-to look."
Black Dark Night Jumpsuit,Jumpsuit with a straight shirt style shrug with embellishment
Pink High On Style Top,Pink polyester crepe top. Sleeveless deep incut shoulders. Gather detailing on the neckline with tie up at the back. Chic & classy take it to work or to a casual brunch depending on your mood this top is high on style & its versatility quotient. Accessorize with: take this look from desk to dinner by pairing it with either a pair of high waist pants or a pencil skirt and block heels!
Navy Blue Spotted In Polka Wrap Dress,Blue polka printed rayon wrap style dress. Short sleeves with an overlapping wrap style v-neckline. Concealed zipper on the left and a thin fabric belt for style. Open overlapping waistline with ruffles on the waist. Polka dots are a timeless fashion trend they can go from wearing to work to a day out with friends and even for dressing up on dates!. Accessorize with: t-strap flats and a cute crossbody bag will complete this casual chic look!
Powder Pink Sunrise Sequin Dress,Beautifully embellished dusty pink dress with scores of sequins and bugle beads. This dress looks great on its own and does not need any accessory to complete it. Pair it with nude heels for a complete look
Bespoke by Narendra kumar Navy Blue Embroidered Peplum Top With Skirt (Set of 2),"Featuring a tube silhouette, this Bespoke Peplum Top and high waisted skirt is crafted from pure silk in blush with delicate hand embroidery. The skirt in navy blue features subtle front pleats and a split hemline adding contemporary details to the mix.Wear yours with everything from pared-back denim to a party-ready leather skirt."
Beige Floral Crop Top,"This beige top by Mish is crafted in polyester and features a V- neck with button placket, short sleeves, knot tie-up details on the front and a regular fit. Style this top with jeans to complete the look. Buy this top online."
Black Stylish Solid Casual Hooded Sweatshirt,"Freshen up your winter wardrobe with this sweatshirt for women from Campus Sutra. This sweatshirt is made of 100% cotton, the cotton fabric of sweatshirt spells pure comfort and warmth. Fetch a casual and cool look for yourself by teaming it with a pair of jeans and sneakers."
Olive Polka Knotted Top,"This grey polka dot print top by Faballey is crafted in polyester and features a V-neck,short sleeves and tie up details on the waist and a regular fit.Buy this top online an pair it with jeans and heels to complete the look."
Black Solid V-Neck T-Shirt Dress,"This black dress by GAP is crafted in cotton and makes the perfect pick to don for daytime events and occasions. Style this stunning dress with a pair of strappy heels, pint-sized earrings and a chic handbag to complete the look."
Blue Drama In Denim Dress,Blue denim dress. Fit and flare silhouette. Ruffled shoulder straps with a curved square neckline. Centre front buttons for fastening and ease.
White Patterned Eyelet Apron Maxi Dress,"Elevate your weekend line-up with this eyelet apron dress from GAP. Woven from smooth cotton in a maxi silhouette, this fully lined piece features adjustable shoulder straps, buttoned closure at front and an elasticized waist with inner drawcord ties . Team it with simple accessories and tan brogues."
Red Edging Towards Style Dress,"Add an extra dose of style to your casual wardrobe with this red one-shoulder dress from Twenty Dresses. Style With: A pair of gold heels, a gold clutch and statement earrings will complete this gorgeous look!"
KAZO Teal Sleeveless Bodycon Jumpsuit With Tie-Up At Waist,"This teal solid jumpsuit from Kazo will be a perfect addition to your western wear collection. Featuring a round neck and sleeveless design, pair this jumpsuit with minimal accessories and flats to complete the look."
Teal Moonchild Top,Easy fit top with pleat and ruffle details
Navy Blue Sequins Yoke Top,This sequin yoke top with full sleeves is great for an evening out.
Black Let The Stripes Talk Co-ordinates,Black stripes polyester twill crepe pant co-ord set. Strappy crop top. Side zipper for top closure. Culotte pants. Side zipper with back elastic for pant closure.
White Solid Dress,Cover Story Solid White Women Dress
Melek Floral Jacket,Present an allure of elegance with this abutilon print velvet jacket by Payal Singhal. Style it with statement jewellery and embellished footwear to ace the outfit. Jacket only.
Blue Collins Short Jacket,"This blue checks jacket from Payal Pratap will be a great addition to your western wear collection. Featuring a V-neck and 3/4th sleeves, pair this jacket with a top/ shirt, trousers and heels to create that go-to look."
Pink Halter Neck Pleated Maxi Dress,A good maxi dress can save the day or the night. This rusty rose maxi dress comes with a halter neck accentuated with embellishments. Style Tip : Pair this with some stacked bracelets and midi rings.
SAMSHEK Mustard organza ruffle jumpsuit,A mustard jumpsuit with square neckline and ruffles on shoulders <br><br>Color: Mustard <br>Length: Ankle Length<br>Fit: Fitted <br>Fabric: Moss Crepe <br>Fabric Composition: 100% Polyester <br>Style: Evening
Afrika Printed Bomber Jacket With Pants (Set of 2),"Wear this ikat love bomber jacket by Payal Singhal to make a style statement. Crafted in embroidered velvet, it comes with a pant. Style it with statement jewellery and embellished footwear to ace the outfit."
Indigo Savanna Denim Jacket & Pant (Set of 2),Relax fit Jacket and pant set in natural indigo dyed Handloom Cotton khadi Denim with hand block printed fabric details. Fastened with natural coconut buttons and cotton drawstring at the waist that lets you adjust the fit
Navy Blue Cutting Up The Choker Jumpsuit,Inspire chic finesse in your line-up with this navy blue jumpsuit from Twenty Dresses. Style With: A pair of nude block heels and a chic sling bag will complete this stunning look!
Rayon Jaal Print Dress,Round Neck Dress Having Three Quarter Designer Sleeves With Button Detailing
Handloom Cotton Blue And White Check Shift Dress With Balloon Sleeves,Fabnest womens handloom cotton blue and white check shift dress with balloon sleeves
Navy Blue Geometric A-Line Rayon Top,"Featuring embroidery details, this navy blue top from Jaipur Kurti is perfect to don for casual occasions and events. Style this top with a pair black leggings and high heels to complete the look."
Band Collar Full Sleeves Green Printed Tunic,"This green printed tunic is crafted in viscose and features a banded collar neck, long sleeves with buttoned cuffs, a front buttons placket and a regular fit. Style this tunic with a pair of white trousers and high heels to complete the look."
Torqadorn Rust Colour Block Linen Poncho,"Meet your perfect accompaniment for those chilly office & theatre indoors, this cool linen colour block poncho comes to your rescue in style. Touting a handkerchief silhouette with a fabric belt for an accentuated waist, you slide in & out this wonder with ease."
Maroon High Neck Dress,"This maroon dress is crafted in cotton and features a high neck, 3/4th sleeves, a side slit and a slim fit. Style this dress with a pair of high heels and a chic clutch to complete the look."
Rust Stripes Tacey Jumpsuit,A unique de-constructed jumpsuit inspired by structural ambiguity. Tacey jumpsuit is constructed through multiple mocks and trials to achieve a bespoke body fit and a promising silhouette.
Purple The Summer Love Top,Purple polyester crepe top. Round neckline with short sleeves. Puff sleeves with inverted box pleat detailing. Keyhole in the front. Hook & eye for fastening & ease.
Torqadorn Maroon Satin Formal Shirt,"When you want a work wardrobe that’s subtle, stylish, and a bit romantic, make this wine shirt your business. Whether flavouring your coffee, taking that project lead or simply heading out with the girls for after-office drinks, you do so in style with Torqadorn's classic tailored shirt in iridescent silk satin that can be styled multiple ways; button down for a chic work-wear ensemble or tie-up to dazzle your evening look"
Mustard Snuggle Me In Crop Top,Mustard polyester crepe puff sleeve crop top. Wide square neckline with elastic on shoulders. Short puff sleeves with elastic at sleeve hem. Smocked detailing on the front and back.
White Printed Logo Classic Tee,GAP's t-shirt features a cool logo graphic at front that adds a cool flair to this style. It's made from uber-soft cotton jersey and finished with a crew neck and short sleeves. Slip yours on over cuffed shorts for a day in the sun.
Devi White Swing Dress,"This white dress from Gulaal is crafted in a mix blend of cotton and satin and features a boat neck ,3/4th sleeves with real mirror and golden zari embroidery and side seam pockets.Buy this dress online and style it with silver choker and a nose pin for a festive ready look.<br><br><br> <br>"
White Solid Calico Top With Skirt (Set of 2),Twisted jacket and skirt set
Navy Blue Striped Shirt,<br>This blue striped shirt from Vero Moda is crafted in polyester and features a mandarin neck with button placket and short sleeves. Buy this shirt online and style it with black flared trousers for office ready look.<br><br>
Cotton Flex Black Overlap Panel Jumpsuit,"This black jumpsuit by Fabnest is crafted in cotton and features a V-neck, 3/4th sleeves, a wrap style with a side tie-up detail and a regular fit. Style this jumpsuit with a pair of high heels and statement accessories to complete the look. Buy this jumpsuit online."
Bespoke by Narendra kumar Black Fully Embroidered Jacket,The hand-embroidered jacket is tailored to a slim-fit silhouette and fastens at the front with a single button. This piece is crafted using a sild fabrication and is fully lined. Wear it with the matching trousers and a silk blouse for an on-trend spring look.
Blue Piping Blazer,"Stylised Women Coat Or Blazer from the House of Campus Sutra. Feature: Lightweight, Smooth Fabric, Comfort Fit, two welt pockets on the front"
Black Metallic Logo Zip Hoodie,"GAP's cosy sweatshirt is knitted with black threads to create a unique pattern. It is cut for a loose fit and features drawcords at hoodie neckline, metallic embellishment at chest, long sleeves and a rib knit banded hemline. Wear yours over a tank when the temperature drops."
Dohyenne Black Asymmetric Cocktail Dress,Dohyenne Asymmetric multi Layered Cocktail Dress
Green String Me Up Floral Top,Green floral printed rayon crop top. V neckline with ruching at the center front and tie up at the waist. Three fourth balloon sleeves with elastic at the sleeve hem.
Peach Semi-Fit Ballerina Gown,Gown with embellishments
Black All The Way Jogger Jumpsuit,Black rayon twill jumpsuit. V neckline with short sleeves. Elasticated waist for comfort & style. Comfort fit with jogger style bottom silhouette. Center front button placket for fastening and ease.
Green Connie Soft Midi Dress,"Ideal for weddings and daytime events, our soft midi dress arrives in mint with an all-over blossom print. Wear yours with white heels and pearl jewellery.<br>"
Brown You Ruffle Me Up Top,"Add an extra dose of style to your casual wardrobe with this elegant brown top from Twenty Dresses. Style With: A pair of white denims, a cute pair of block heels and a sling bag will complete your look!"
Round Neck 3/4 Sleeves Green Printed Short Dress,"This green floral printed dress is crafted in polyester and features a round keyhole neck with button fastening, 3/4th sleeves, pleat details and a regular fit. Style this dress with a pair of high heels and statement accessories to complete the look."
Blue In The Cuteness Crop Top,Blue Striped Cotton Crop Top. Square Neck with ruffles extending to the front yoke with buttoned front detailing for style. Ruffled at hem.
Black Laced In Me Jumpsuit,Black rayon with lace sleeves jumpsuit. Off shoulder elasticated neckline with short sleeves. Elasticated waist for ease and comfort. Flared bottom silhouette.
Rust Dots Of Color Jumpsuit,Rust polka printed polyester crepe jumpsuit. Polyester knit lining inside for comfort. V neckline with incut sleeves. Smocked waistline with straight bottom silhouette. Keyhole button at the back for ease and comfort.
